key,name,flag,annual_co2_gt,share_of_global_pct,historical_share_pct,vulnerability,estimated_annual_loss,renewable_electricity_pct,climate_target,assessment,trajectory,data_year
china,China,🇨🇳,11.4,31,14,High,0.5 to 1% GDP,31,Carbon neutral by 2060,progress,Off track,2023
usa,United States,🇺🇸,5.0,14,25,Medium,0.3 to 0.5% GDP,23,"Withdrew from Paris Agreement, Jan 2026",behind,No credible plan,2023
india,India,🇮🇳,2.8,8,3.5,Very High,1.5 to 2% GDP,21,"Net zero by 2070, 50% non fossil power by 2030",progress,Off track,2023
russia,Russia,🇷🇺,1.9,5,7,Medium,0.3% GDP,20,Carbon neutral by 2060,behind,No credible plan,2023
japan,Japan,🇯🇵,1.0,3,4,Medium,0.4% GDP,24,Net zero by 2050,progress,Off track,2023
germany,Germany,🇩🇪,0.6,1.7,5.5,Low,0.2% GDP,52,"Net zero by 2045, 80% renewables by 2030",leading,On track,2023
uk,United Kingdom,🇬🇧,0.3,0.9,4.6,Low,0.1% GDP,47,"Net zero by 2050, clean power by 2030",leading,On track,2023
france,France,🇫🇷,0.28,0.8,2.3,Low,0.15% GDP,27,Net zero by 2050,progress,On track,2023
italy,Italy,🇮🇹,0.31,0.85,2,Medium,0.3% GDP,39,Net zero by 2050,progress,Off track,2023
spain,Spain,🇪🇸,0.22,0.6,1.4,Medium,0.3% GDP,50,Net zero by 2050,leading,On track,2023
poland,Poland,🇵🇱,0.29,0.8,2,Low,0.2% GDP,27,EU net zero by 2050,behind,No credible plan,2023
netherlands,Netherlands,🇳🇱,0.13,0.4,1,Very High,0.5% GDP,48,"55% cut by 2030, net zero by 2050",progress,Off track,2023
sweden,Sweden,🇸🇪,0.037,0.1,0.4,Low,0.1% GDP,69,Net zero by 2045,leading,On track,2022
norway,Norway,🇳🇴,0.037,0.1,0.3,Low,0.1% GDP,98,Net zero by 2030,leading,Off track,2023
denmark,Denmark,🇩🇰,0.028,0.08,0.3,Low,0.1% GDP,87,70% cut by 2030,leading,On track,2023
ukraine,Ukraine,🇺🇦,0.15,0.4,1.5,High,War compounded,12,EU aligned by 2050,progress,Off track,2022
turkey,Turkey,🇹🇷,0.44,1.2,1.2,Medium,0.4% GDP,42,Net zero by 2053,progress,Off track,2023
pakistan,Pakistan,🇵🇰,0.24,0.65,0.4,Extreme,3 to 5% GDP in flood years,33,60% clean energy by 2030,progress,Off track,2022
bangladesh,Bangladesh,🇧🇩,0.12,0.3,0.1,Extreme,1.5 to 2% GDP,5,40% clean energy by 2041,progress,Off track,2022
nigeria,Nigeria,🇳🇬,0.13,0.35,0.5,High,1 to 2% GDP,19,Net zero by 2060,progress,Off track,2022
ethiopia,Ethiopia,🇪🇹,0.02,0.06,0.1,Extreme,3 to 5% GDP,99,Carbon neutral by 2050,leading,On track,2022
kenya,Kenya,🇰🇪,0.02,0.06,0.1,Very High,2 to 4% GDP,90,100% clean energy by 2030,leading,On track,2022
south africa,South Africa,🇿🇦,0.4,1.1,1.3,High,1% GDP,12,Net zero by 2050,behind,No credible plan,2023
brazil,Brazil,🇧🇷,0.47,1.3,1.3,High,0.5% GDP,89,Net zero by 2050,progress,Off track,2023
australia,Australia,🇦🇺,0.39,1.1,1.1,Medium,0.3% GDP,35,"43% cut by 2030, net zero by 2050",progress,Off track,2023
indonesia,Indonesia,🇮🇩,0.47,1.3,1.2,High,1 to 2% GDP,19,Net zero by 2060,behind,No credible plan,2023
canada,Canada,🇨🇦,0.54,1.5,2,Medium,0.3% GDP,67,Net zero by 2050,progress,Off track,2023
saudi arabia,Saudi Arabia,🇸🇦,0.51,1.4,1.1,Low,0.2% GDP,1,Net zero by 2060,behind,No credible plan,2023
mexico,Mexico,🇲🇽,0.43,1.2,1.3,High,0.5% GDP,25,35% clean energy by 2030,behind,No credible plan,2023
philippines,Philippines,🇵🇭,0.15,0.4,0.3,Extreme,1 to 3% GDP,31,35% renewables by 2030,progress,Off track,2022
tuvalu,Tuvalu,🇹🇻,1e-05,0,0,Extreme,Existential,45,100% renewables target,leading,On track,2021
thailand,Thailand,🇹🇭,0.28,0.75,0.6,High,1% GDP,16,Carbon neutral by 2050,behind,No credible plan,2022
vietnam,Vietnam,🇻🇳,0.34,0.9,0.4,Very High,1 to 2% GDP,43,Net zero by 2050,progress,Off track,2022
argentina,Argentina,🇦🇷,0.19,0.5,0.6,Medium,0.5% GDP,31,Net zero by 2050,behind,No credible plan,2022
egypt,Egypt,🇪🇬,0.25,0.7,0.5,High,0.5% GDP,12,42% renewables by 2030,behind,No credible plan,2022
morocco,Morocco,🇲🇦,0.075,0.2,0.1,High,0.5 to 1% GDP,38,52% renewable capacity by 2030,leading,On track,2023
sri lanka,Sri Lanka,🇱🇰,0.02,0.06,0.05,Very High,1 to 2% GDP,52,70% renewables by 2030,progress,Off track,2021
uae,United Arab Emirates,🇦🇪,0.24,0.65,0.4,Low,0.2% GDP,7,Net zero by 2050,behind,No credible plan,2023
south korea,South Korea,🇰🇷,0.6,1.7,1.4,Medium,0.3% GDP,9,Net zero by 2050,behind,No credible plan,2023
